# source-commit	beff256b491e20508eab0319b23547ff145cfd04
# cargo-lock-sha256	01b65d23eb9d3c589b7f50bd79d9f0ebc7454e836f0abd05734b838952c5437a
package	version	declared_license	source
gix-pathspec	0.14.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-protocol	0.55.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-quote	0.6.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-ref	0.57.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-refspec	0.35.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-revision	0.39.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-revwalk	0.25.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-sec	0.12.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-shallow	0.7.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-status	0.24.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-submodule	0.24.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-tempfile	20.0.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-trace	0.1.18	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-transport	0.52.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-traverse	0.51.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-url	0.34.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-utils	0.3.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-validate	0.10.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
gix-worktree	0.46.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
half	2.7.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
hash32	0.3.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
hashbrown	0.14.5	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
hashbrown	0.15.5	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
hashbrown	0.16.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
hashlink	0.11.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
heapless	0.8.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
heck	0.5.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
iana-time-zone	0.1.65	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
iana-time-zone-haiku	0.1.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
id-arena	2.3.0	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
ident_case	1.0.1	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
imara-diff	0.1.8	Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
indexmap	2.13.0	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
indicatif	0.18.3	MIT	registry+https://github.com/rust-lang/crates.io-index
insta	1.46.3	Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
is_executable	1.0.5	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
is_terminal_polyfill	1.70.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
itertools	0.13.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
itoa	1.0.17	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
jiff	0.2.19	Unlicense OR MIT	registry+https://github.com/rust-lang/crates.io-index
jiff-static	0.2.19	Unlicense OR MIT	registry+https://github.com/rust-lang/crates.io-index
jiff-tzdb	0.1.5	Unlicense OR MIT	registry+https://github.com/rust-lang/crates.io-index
jiff-tzdb-platform	0.1.3	Unlicense OR MIT	registry+https://github.com/rust-lang/crates.io-index
js-sys	0.3.85	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
kstring	2.0.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
lazy_static	1.5.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
leb128fmt	0.1.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
libc	0.2.181	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
libredox	0.1.12	MIT	registry+https://github.com/rust-lang/crates.io-index
libsqlite3-sys	0.36.0	MIT	registry+https://github.com/rust-lang/crates.io-index
linked-hash-map	0.5.6	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
linux-raw-sys	0.11.0	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
linux-raw-sys	0.4.15	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
litrs	1.0.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
lock_api	0.4.14	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
log	0.4.29	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
lru	0.16.3	MIT	registry+https://github.com/rust-lang/crates.io-index
matchers	0.2.0	MIT	registry+https://github.com/rust-lang/crates.io-index
maybe-async	0.2.10	MIT	registry+https://github.com/rust-lang/crates.io-index
memchr	2.8.0	Unlicense OR MIT	registry+https://github.com/rust-lang/crates.io-index
memmap2	0.9.9	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
miniz_oxide	0.8.9	MIT OR Zlib OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
mio	1.1.1	MIT	registry+https://github.com/rust-lang/crates.io-index
normalize-line-endings	0.3.0	Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
nu-ansi-term	0.50.3	MIT	registry+https://github.com/rust-lang/crates.io-index
num-bigint	0.4.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
num-conv	0.1.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
num-integer	0.1.46	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
num-rational	0.4.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
num-traits	0.2.19	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
num_threads	0.1.7	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
object	0.37.3	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
once_cell	1.21.3	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
once_cell_polyfill	1.70.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
onig	6.5.1	MIT	registry+https://github.com/rust-lang/crates.io-index
onig_sys	69.9.1	MIT	registry+https://github.com/rust-lang/crates.io-index
oorandom	11.1.5	MIT	registry+https://github.com/rust-lang/crates.io-index
